"PlenarySitting_uri","label","datePlenarySitting","session","adoptedTextList","agenda","attendanceList","cre","minutes","rollCallVotes","voteResult","logisticMeeting","annex","preferred_label_en","preferred_label_fr","preferred_label_de","preferred_label_it","preferred_label_es","preferred_label_pl","preferred_label_bg","preferred_label_cs","preferred_label_da","preferred_label_et","preferred_label_el","preferred_label_hr","preferred_label_lv","preferred_label_lt","preferred_label_hu","preferred_label_mt","preferred_label_nl","preferred_label_pt","preferred_label_ro","preferred_label_sk","preferred_label_sl","preferred_label_fi","preferred_label_sv"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190114","SESP 2019-01-14","2019-01-14","http://data.europarl.europa.eu/PlenarySession_20190114-20190117",,"reference/reds:iPlOj_Sit/OJQ-8-2019-01-14","reference/reds:iPlPv_Att/PV-8-2019-01-14-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-01-14","reference/reds:iPlPv_Sit/PV-8-2019-01-14","reference/reds:iPlPv_Rcv/PV-8-2019-01-14-RCV",,"reference/reds:iCalPlMeeting/CMTG-PL-2019-001322-01",,"Monday, 14 January 2019","Lundi 14 janvier 2019","Montag, 14. Januar 2019","Lunedì 14 gennaio 2019","Lunes 14 de enero de 2019","Poniedziałek, 14 stycznia 2019","Понеделник, 14 януари 2019","Pondělí, 14. ledna 2019","Mandag den 14. januar 2019","Esmaspäev, 14. jaanuar 2019","Δευτέρα 14 Ιανουαρίου 2019","ponedjeljak, 14. siječnja 2019.","Pirmdiena, 2019. gada 14. janvāris","Pirmadienis, 2019 m. sausio 14 d.","2019. január 14., hétfő","It-Tnejn, 14 ta' Jannar 2019","Maandag 14 januari 2019","Segunda-feira, 14 de Janeiro de 2019","Luni, 14 ianuarie 2019","Pondelok, 14. januára 2019","Ponedeljek, 14. januar 2019","Maanantai 14. tammikuuta 2019","Måndagen den 14 januari 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190115","SESP 2019-01-15","2019-01-15","http://data.europarl.europa.eu/PlenarySession_20190114-20190117","reference/reds:iPlTa_Toc/TA-8-2019-01-15-TOC","reference/reds:iPlOj_Sit/OJQ-8-2019-01-15","reference/reds:iPlPv_Att/PV-8-2019-01-15-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-01-15","reference/reds:iPlPv_Sit/PV-8-2019-01-15","reference/reds:iPlPv_Rcv/PV-8-2019-01-15-RCV","reference/reds:iPlPv_Vot/PV-8-2019-01-15-VOT","reference/reds:iCalPlMeeting/CMTG-PL-2019-001323-01",,"Tuesday, 15 January 2019","Mardi 15 janvier 2019","Dienstag, 15. Januar 2019","Martedì 15 gennaio 2019","Martes 15 de enero de 2019","Wtorek, 15 stycznia 2019","Втoрник, 15 януари 2019","Úterý, 15. ledna 2019","Tirsdag den 15. januar 2019","Teisipäev, 15. jaanuar 2019","Τρίτη 15 Ιανουαρίου 2019","utorak, 15. siječnja 2019.","Otrdiena, 2019. gada 15. janvāris","Antradienis, 2019 m. sausio 15 d.","2019. január 15., kedd","It-Tlieta, 15 ta' Jannar 2019","Dinsdag 15 januari 2019","Terça-feira, 15 de Janeiro de 2019","Marţi, 15 ianuarie 2019","Utorok, 15. januára 2019","Torek, 15. januar 2019","Tiistai 15. tammikuuta 2019","Tisdagen den 15 januari 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190116","SESP 2019-01-16","2019-01-16","http://data.europarl.europa.eu/PlenarySession_20190114-20190117","reference/reds:iPlTa_Toc/TA-8-2019-01-16-TOC","reference/reds:iPlOj_Sit/OJQ-8-2019-01-16","reference/reds:iPlPv_Att/PV-8-2019-01-16-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-01-16","reference/reds:iPlPv_Sit/PV-8-2019-01-16","reference/reds:iPlPv_Rcv/PV-8-2019-01-16-RCV","reference/reds:iPlPv_Vot/PV-8-2019-01-16-VOT","reference/reds:iCalPlMeeting/CMTG-PL-2019-001324-01",,"Wednesday, 16 January 2019","Mercredi 16 janvier 2019","Mittwoch, 16. Januar 2019","Mercoledì 16 gennaio 2019","Miércoles 16 de enero de 2019","Środa, 16 stycznia 2019","Cряда, 16 януари 2019","Středa, 16. ledna 2019","Onsdag den 16. januar 2019","Kolmapäev, 16. jaanuar 2019","Τετάρτη 16 Ιανουαρίου 2019","srijeda, 16. siječnja 2019.","Trešdiena, 2019. gada 16. janvāris","Trečiadienis, 2019 m. sausio 16 d.","2019. január 16., szerda","L-Erbgħa, 16 ta' Jannar 2019","Woensdag 16 januari 2019","Quarta-feira, 16 de Janeiro de 2019","Miercuri, 16 ianuarie 2019","Streda, 16. januára 2019","Sreda, 16. januar 2019","Keskiviikko 16. tammikuuta 2019","Onsdagen den 16 januari 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190117","SESP 2019-01-17","2019-01-17","http://data.europarl.europa.eu/PlenarySession_20190114-20190117","reference/reds:iPlTa_Toc/TA-8-2019-01-17-TOC","reference/reds:iPlOj_Sit/OJQ-8-2019-01-17","reference/reds:iPlPv_Att/PV-8-2019-01-17-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-01-17","reference/reds:iPlPv_Sit/PV-8-2019-01-17","reference/reds:iPlPv_Rcv/PV-8-2019-01-17-RCV","reference/reds:iPlPv_Vot/PV-8-2019-01-17-VOT","reference/reds:iCalPlMeeting/CMTG-PL-2019-001325-01",,"Thursday, 17 January 2019","Jeudi 17 janvier 2019","Donnerstag, 17. Januar 2019","Giovedì 17 gennaio 2019","Jueves 17 de enero de 2019","Czwartek, 17 stycznia 2019","Четвъртък, 17 януари 2019","Čtvrtek, 17. ledna 2019","Torsdag den 17. januar 2019","Neljapäev, 17. jaanuar 2019","Πέμπτη 17 Ιανουαρίου 2019","četvrtak, 17. siječnja 2019.","Ceturtdiena, 2019. gada 17. janvāris","Ketvirtadienis, 2019 m. sausio 17 d.","2019. január 17., csütörtök","Il-Ħamis, 17 ta' Jannar 2019","Donderdag 17 januari 2019","Quinta-feira, 17 de Janeiro de 2019","Joi, 17 ianuarie 2019","Štvrtok, 17. januára 2019","Četrtek, 17. januar 2019","Torstai 17. tammikuuta 2019","Torsdagen den 17 januari 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190130","SESP 2019-01-30","2019-01-30","http://data.europarl.europa.eu/PlenarySession_20190130-20190131",,"reference/reds:iPlOj_Sit/OJQ-8-2019-01-30","reference/reds:iPlPv_Att/PV-8-2019-01-30-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-01-30","reference/reds:iPlPv_Sit/PV-8-2019-01-30","reference/reds:iPlPv_Rcv/PV-8-2019-01-30-RCV",,"reference/reds:iCalPlMeeting/CMTG-PL-2019-001547-01",,"Wednesday, 30 January 2019","Mercredi 30 janvier 2019","Mittwoch, 30. Januar 2019","Mercoledì 30 gennaio 2019","Miércoles 30 de enero de 2019","Środa, 30 stycznia 2019","Cряда, 30 януари 2019","Středa, 30. ledna 2019","Onsdag den 30. januar 2019","Kolmapäev, 30. jaanuar 2019","Τετάρτη 30 Ιανουαρίου 2019","srijeda, 30. siječnja 2019.","Trešdiena, 2019. gada 30. janvāris","Trečiadienis, 2019 m. sausio 30 d.","2019. január 30., szerda","L-Erbgħa, 30 ta' Jannar 2019","Woensdag 30 januari 2019","Quarta-feira, 30 de Janeiro de 2019","Miercuri, 30 ianuarie 2019","Streda, 30. januára 2019","Sreda, 30. januar 2019","Keskiviikko 30. tammikuuta 2019","Onsdagen den 30 januari 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190131","SESP 2019-01-31","2019-01-31","http://data.europarl.europa.eu/PlenarySession_20190130-20190131","reference/reds:iPlTa_Toc/TA-8-2019-01-31-TOC","reference/reds:iPlOj_Sit/OJQ-8-2019-01-31","reference/reds:iPlPv_Att/PV-8-2019-01-31-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-01-31","reference/reds:iPlPv_Sit/PV-8-2019-01-31","reference/reds:iPlPv_Rcv/PV-8-2019-01-31-RCV","reference/reds:iPlPv_Vot/PV-8-2019-01-31-VOT","reference/reds:iCalPlMeeting/CMTG-PL-2019-001548-01","reference/reds:iPlPv_Ann/PV-8-2019-01-31-ANN-1","Thursday, 31 January 2019","Jeudi 31 janvier 2019","Donnerstag, 31. Januar 2019","Giovedì 31 gennaio 2019","Jueves 31 de enero de 2019","Czwartek, 31 stycznia 2019","Четвъртък, 31 януари 2019","Čtvrtek, 31. ledna 2019","Torsdag den 31. januar 2019","Neljapäev, 31. jaanuar 2019","Πέμπτη 31 Ιανουαρίου 2019","četvrtak, 31. siječnja 2019.","Ceturtdiena, 2019. gada 31. janvāris","Ketvirtadienis, 2019 m. sausio 31 d.","2019. január 31., csütörtök","Il-Ħamis, 31 ta' Jannar 2019","Donderdag 31 januari 2019","Quinta-feira, 31 de Janeiro de 2019","Joi, 31 ianuarie 2019","Štvrtok, 31. januára 2019","Četrtek, 31. januar 2019","Torstai 31. tammikuuta 2019","Torsdagen den 31 januari 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190211","SESP 2019-02-11","2019-02-11","http://data.europarl.europa.eu/PlenarySession_20190211-20190214",,"reference/reds:iPlOj_Sit/OJQ-8-2019-02-11","reference/reds:iPlPv_Att/PV-8-2019-02-11-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-02-11","reference/reds:iPlPv_Sit/PV-8-2019-02-11","reference/reds:iPlPv_Rcv/PV-8-2019-02-11-RCV",,"reference/reds:iCalPlMeeting/CMTG-PL-2019-001326-01",,"Monday, 11 February 2019","Lundi 11 février 2019","Montag, 11. Februar 2019","Lunedì 11 febbraio 2019","Lunes 11 de febrero de 2019","Poniedziałek, 11 lutego 2019","Понеделник, 11 февруари 2019","Pondělí, 11. února 2019","Mandag den 11. februar 2019","Esmaspäev, 11. veebruar 2019","Δευτέρα 11 Φεβρουαρίου 2019","ponedjeljak, 11. veljače 2019.","Pirmdiena, 2019. gada 11. februāris","Pirmadienis, 2019 m. vasario 11 d.","2019. február 11., hétfő","It-Tnejn, 11 ta' Frar 2019","Maandag 11 februari 2019","Segunda-feira, 11 de Fevereiro de 2019","Luni, 11 februarie 2019","Pondelok, 11. februára 2019","Ponedeljek, 11. februar 2019","Maanantai 11. helmikuuta 2019","Måndagen den 11 februari 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190212","SESP 2019-02-12","2019-02-12","http://data.europarl.europa.eu/PlenarySession_20190211-20190214","reference/reds:iPlTa_Toc/TA-8-2019-02-12-TOC","reference/reds:iPlOj_Sit/OJQ-8-2019-02-12","reference/reds:iPlPv_Att/PV-8-2019-02-12-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-02-12","reference/reds:iPlPv_Sit/PV-8-2019-02-12","reference/reds:iPlPv_Rcv/PV-8-2019-02-12-RCV","reference/reds:iPlPv_Vot/PV-8-2019-02-12-VOT","reference/reds:iCalPlMeeting/CMTG-PL-2019-001327-01",,"Tuesday, 12 February 2019","Mardi 12 février 2019","Dienstag, 12. Februar 2019","Martedì 12 febbraio 2019","Martes 12 de febrero de 2019","Wtorek, 12 lutego 2019","Втoрник, 12 февруари 2019","Úterý, 12. února 2019","Tirsdag den 12. februar 2019","Teisipäev, 12. veebruar 2019","Τρίτη 12 Φεβρουαρίου 2019","utorak, 12. veljače 2019.","Otrdiena, 2019. gada 12. februāris","Antradienis, 2019 m. vasario 12 d.","2019. február 12., kedd","It-Tlieta, 12 ta' Frar 2019","Dinsdag 12 februari 2019","Terça-feira, 12 de Fevereiro de 2019","Marţi, 12 februarie 2019","Utorok, 12. februára 2019","Torek, 12. februar 2019","Tiistai 12. helmikuuta 2019","Tisdagen den 12 februari 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190213","SESP 2019-02-13","2019-02-13","http://data.europarl.europa.eu/PlenarySession_20190211-20190214","reference/reds:iPlTa_Toc/TA-8-2019-02-13-TOC","reference/reds:iPlOj_Sit/OJQ-8-2019-02-13","reference/reds:iPlPv_Att/PV-8-2019-02-13-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-02-13","reference/reds:iPlPv_Sit/PV-8-2019-02-13","reference/reds:iPlPv_Rcv/PV-8-2019-02-13-RCV","reference/reds:iPlPv_Vot/PV-8-2019-02-13-VOT","reference/reds:iCalPlMeeting/CMTG-PL-2019-001328-01",,"Wednesday, 13 February 2019","Mercredi 13 février 2019","Mittwoch, 13. Februar 2019","Mercoledì 13 febbraio 2019","Miércoles 13 de febrero de 2019","Środa, 13 lutego 2019","Cряда, 13 февруари 2019","Středa, 13. února 2019","Onsdag den 13. februar 2019","Kolmapäev, 13. veebruar 2019","Τετάρτη 13 Φεβρουαρίου 2019","srijeda, 13. veljače 2019.","Trešdiena, 2019. gada 13. februāris","Trečiadienis, 2019 m. vasario 13 d.","2019. február 13., szerda","L-Erbgħa, 13 ta' Frar 2019","Woensdag 13 februari 2019","Quarta-feira, 13 de Fevereiro de 2019","Miercuri, 13 februarie 2019","Streda, 13. februára 2019","Sreda, 13. februar 2019","Keskiviikko 13. helmikuuta 2019","Onsdagen den 13 februari 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190214","SESP 2019-02-14","2019-02-14","http://data.europarl.europa.eu/PlenarySession_20190211-20190214","reference/reds:iPlTa_Toc/TA-8-2019-02-14-TOC","reference/reds:iPlOj_Sit/OJQ-8-2019-02-14","reference/reds:iPlPv_Att/PV-8-2019-02-14-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-02-14","reference/reds:iPlPv_Sit/PV-8-2019-02-14","reference/reds:iPlPv_Rcv/PV-8-2019-02-14-RCV","reference/reds:iPlPv_Vot/PV-8-2019-02-14-VOT","reference/reds:iCalPlMeeting/CMTG-PL-2019-001329-01",,"Thursday, 14 February 2019","Jeudi 14 février 2019","Donnerstag, 14. Februar 2019","Giovedì 14 febbraio 2019","Jueves 14 de febrero de 2019","Czwartek, 14 lutego 2019","Четвъртък, 14 февруари 2019","Čtvrtek, 14. února 2019","Torsdag den 14. februar 2019","Neljapäev, 14. veebruar 2019","Πέμπτη 14 Φεβρουαρίου 2019","četvrtak, 14. veljače 2019.","Ceturtdiena, 2019. gada 14. februāris","Ketvirtadienis, 2019 m. vasario 14 d.","2019. február 14., csütörtök","Il-Ħamis, 14 ta' Frar 2019","Donderdag 14 februari 2019","Quinta-feira, 14 de Fevereiro de 2019","Joi, 14 februarie 2019","Štvrtok, 14. februára 2019","Četrtek, 14. februar 2019","Torstai 14. helmikuuta 2019","Torsdagen den 14 februari 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190311","SESP 2019-03-11","2019-03-11","http://data.europarl.europa.eu/PlenarySession_20190311-20190314",,"reference/reds:iPlOj_Sit/OJQ-8-2019-03-11","reference/reds:iPlPv_Att/PV-8-2019-03-11-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-03-11","reference/reds:iPlPv_Sit/PV-8-2019-03-11","reference/reds:iPlPv_Rcv/PV-8-2019-03-11-RCV",,"reference/reds:iCalPlMeeting/CMTG-PL-2019-001340-01",,"Monday, 11 March 2019","Lundi 11 mars 2019","Montag, 11. März 2019","Lunedì 11 marzo 2019","Lunes 11 de marzo de 2019","Poniedziałek, 11 marca 2019","Понеделник, 11 март 2019","Pondělí, 11. března 2019","Mandag den 11. marts 2019","Esmaspäev, 11. märts 2019","Δευτέρα 11 Μαρτίου 2019","ponedjeljak, 11. ožujka 2019.","Pirmdiena, 2019. gada 11. marts","Pirmadienis, 2019 m. kovo 11 d.","2019. március 11., hétfő","It-Tnejn, 11 ta' Marzu 2019","Maandag 11 maart 2019","Segunda-feira, 11 de Março de 2019","Luni, 11 martie 2019","Pondelok, 11. marca 2019","Ponedeljek, 11. marec 2019","Maanantai 11. maaliskuuta 2019","Måndagen den 11 mars 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190312","SESP 2019-03-12","2019-03-12","http://data.europarl.europa.eu/PlenarySession_20190311-20190314","reference/reds:iPlTa_Toc/TA-8-2019-03-12-TOC","reference/reds:iPlOj_Sit/OJQ-8-2019-03-12","reference/reds:iPlPv_Att/PV-8-2019-03-12-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-03-12","reference/reds:iPlPv_Sit/PV-8-2019-03-12","reference/reds:iPlPv_Rcv/PV-8-2019-03-12-RCV","reference/reds:iPlPv_Vot/PV-8-2019-03-12-VOT","reference/reds:iCalPlMeeting/CMTG-PL-2019-001341-01",,"Tuesday, 12 March 2019","Mardi 12 mars 2019","Dienstag, 12. März 2019","Martedì 12 marzo 2019","Martes 12 de marzo de 2019","Wtorek, 12 marca 2019","Втoрник, 12 март 2019","Úterý, 12. března 2019","Tirsdag den 12. marts 2019","Teisipäev, 12. märts 2019","Τρίτη 12 Μαρτίου 2019","utorak, 12. ožujka 2019.","Otrdiena, 2019. gada 12. marts","Antradienis, 2019 m. kovo 12 d.","2019. március 12., kedd","It-Tlieta, 12 ta' Marzu 2019","Dinsdag 12 maart 2019","Terça-feira, 12 de Março de 2019","Marţi, 12 martie 2019","Utorok, 12. marca 2019","Torek, 12. marec 2019","Tiistai 12. maaliskuuta 2019","Tisdagen den 12 mars 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190313","SESP 2019-03-13","2019-03-13","http://data.europarl.europa.eu/PlenarySession_20190311-20190314","reference/reds:iPlTa_Toc/TA-8-2019-03-13-TOC","reference/reds:iPlOj_Sit/OJQ-8-2019-03-13","reference/reds:iPlPv_Att/PV-8-2019-03-13-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-03-13","reference/reds:iPlPv_Sit/PV-8-2019-03-13","reference/reds:iPlPv_Rcv/PV-8-2019-03-13-RCV","reference/reds:iPlPv_Vot/PV-8-2019-03-13-VOT","reference/reds:iCalPlMeeting/CMTG-PL-2019-001347-01",,"Wednesday, 13 March 2019","Mercredi 13 mars 2019","Mittwoch, 13. März 2019","Mercoledì 13 marzo 2019","Miércoles 13 de marzo de 2019","Środa, 13 marca 2019","Cряда, 13 март 2019","Středa, 13. března 2019","Onsdag den 13. marts 2019","Kolmapäev, 13. märts 2019","Τετάρτη 13 Μαρτίου 2019","srijeda, 13. ožujka 2019.","Trešdiena, 2019. gada 13. marts","Trečiadienis, 2019 m. kovo 13 d.","2019. március 13., szerda","L-Erbgħa, 13 ta' Marzu 2019","Woensdag 13 maart 2019","Quarta-feira, 13 de Março de 2019","Miercuri, 13 martie 2019","Streda, 13. marca 2019","Sreda, 13. marec 2019","Keskiviikko 13. maaliskuuta 2019","Onsdagen den 13 mars 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190314","SESP 2019-03-14","2019-03-14","http://data.europarl.europa.eu/PlenarySession_20190311-20190314","reference/reds:iPlTa_Toc/TA-8-2019-03-14-TOC","reference/reds:iPlOj_Sit/OJQ-8-2019-03-14","reference/reds:iPlPv_Att/PV-8-2019-03-14-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-03-14","reference/reds:iPlPv_Sit/PV-8-2019-03-14","reference/reds:iPlPv_Rcv/PV-8-2019-03-14-RCV","reference/reds:iPlPv_Vot/PV-8-2019-03-14-VOT","reference/reds:iCalPlMeeting/CMTG-PL-2019-001348-01","reference/reds:iPlPv_Ann/PV-8-2019-03-14-ANN-1","Thursday, 14 March 2019","Jeudi 14 mars 2019","Donnerstag, 14. März 2019","Giovedì 14 marzo 2019","Jueves 14 de marzo de 2019","Czwartek, 14 marca 2019","Четвъртък, 14 март 2019","Čtvrtek, 14. března 2019","Torsdag den 14. marts 2019","Neljapäev, 14. märts 2019","Πέμπτη 14 Μαρτίου 2019","četvrtak, 14. ožujka 2019.","Ceturtdiena, 2019. gada 14. marts","Ketvirtadienis, 2019 m. kovo 14 d.","2019. március 14., csütörtök","Il-Ħamis, 14 ta' Marzu 2019","Donderdag 14 maart 2019","Quinta-feira, 14 de Março de 2019","Joi, 14 martie 2019","Štvrtok, 14. marca 2019","Četrtek, 14. marec 2019","Torstai 14. maaliskuuta 2019","Torsdagen den 14 mars 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190325","SESP 2019-03-25","2019-03-25","http://data.europarl.europa.eu/PlenarySession_20190325-20190328",,"reference/reds:iPlOj_Sit/OJQ-8-2019-03-25","reference/reds:iPlPv_Att/PV-8-2019-03-25-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-03-25","reference/reds:iPlPv_Sit/PV-8-2019-03-25","reference/reds:iPlPv_Rcv/PV-8-2019-03-25-RCV",,"reference/reds:iCalPlMeeting/CMTG-PL-2019-001359-01",,"Monday, 25 March 2019","Lundi 25 mars 2019","Montag, 25. März 2019","Lunedì 25 marzo 2019","Lunes 25 de marzo de 2019","Poniedziałek, 25 marca 2019","Понеделник, 25 март 2019","Pondělí, 25. března 2019","Mandag den 25. marts 2019","Esmaspäev, 25. märts 2019","Δευτέρα 25 Μαρτίου 2019","ponedjeljak, 25. ožujka 2019.","Pirmdiena, 2019. gada 25. marts","Pirmadienis, 2019 m. kovo 25 d.","2019. március 25., hétfő","It-Tnejn, 25 ta' Marzu 2019","Maandag 25 maart 2019","Segunda-feira, 25 de Março de 2019","Luni, 25 martie 2019","Pondelok, 25. marca 2019","Ponedeljek, 25. marec 2019","Maanantai 25. maaliskuuta 2019","Måndagen den 25 mars 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190326","SESP 2019-03-26","2019-03-26","http://data.europarl.europa.eu/PlenarySession_20190325-20190328","reference/reds:iPlTa_Toc/TA-8-2019-03-26-TOC","reference/reds:iPlOj_Sit/OJQ-8-2019-03-26","reference/reds:iPlPv_Att/PV-8-2019-03-26-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-03-26","reference/reds:iPlPv_Sit/PV-8-2019-03-26","reference/reds:iPlPv_Rcv/PV-8-2019-03-26-RCV","reference/reds:iPlPv_Vot/PV-8-2019-03-26-VOT","reference/reds:iCalPlMeeting/CMTG-PL-2019-001360-01",,"Tuesday, 26 March 2019","Mardi 26 mars 2019","Dienstag, 26. März 2019","Martedì 26 marzo 2019","Martes 26 de marzo de 2019","Wtorek, 26 marca 2019","Втoрник, 26 март 2019","Úterý, 26. března 2019","Tirsdag den 26. marts 2019","Teisipäev, 26. märts 2019","Τρίτη 26 Μαρτίου 2019","utorak, 26. ožujka 2019.","Otrdiena, 2019. gada 26. marts","Antradienis, 2019 m. kovo 26 d.","2019. március 26., kedd","It-Tlieta, 26 ta' Marzu 2019","Dinsdag 26 maart 2019","Terça-feira, 26 de Março de 2019","Marţi, 26 martie 2019","Utorok, 26. marca 2019","Torek, 26. marec 2019","Tiistai 26. maaliskuuta 2019","Tisdagen den 26 mars 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190327","SESP 2019-03-27","2019-03-27","http://data.europarl.europa.eu/PlenarySession_20190325-20190328","reference/reds:iPlTa_Toc/TA-8-2019-03-27-TOC","reference/reds:iPlOj_Sit/OJQ-8-2019-03-27","reference/reds:iPlPv_Att/PV-8-2019-03-27-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-03-27","reference/reds:iPlPv_Sit/PV-8-2019-03-27","reference/reds:iPlPv_Rcv/PV-8-2019-03-27-RCV","reference/reds:iPlPv_Vot/PV-8-2019-03-27-VOT","reference/reds:iCalPlMeeting/CMTG-PL-2019-001361-01",,"Wednesday, 27 March 2019","Mercredi 27 mars 2019","Mittwoch, 27. März 2019","Mercoledì 27 marzo 2019","Miércoles 27 de marzo de 2019","Środa, 27 marca 2019","Cряда, 27 март 2019","Středa, 27. března 2019","Onsdag den 27. marts 2019","Kolmapäev, 27. märts 2019","Τετάρτη 27 Μαρτίου 2019","srijeda, 27. ožujka 2019.","Trešdiena, 2019. gada 27. marts","Trečiadienis, 2019 m. kovo 27 d.","2019. március 27., szerda","L-Erbgħa, 27 ta' Marzu 2019","Woensdag 27 maart 2019","Quarta-feira, 27 de Março de 2019","Miercuri, 27 martie 2019","Streda, 27. marca 2019","Sreda, 27. marec 2019","Keskiviikko 27. maaliskuuta 2019","Onsdagen den 27 mars 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190328","SESP 2019-03-28","2019-03-28","http://data.europarl.europa.eu/PlenarySession_20190325-20190328","reference/reds:iPlTa_Toc/TA-8-2019-03-28-TOC","reference/reds:iPlOj_Sit/OJQ-8-2019-03-28","reference/reds:iPlPv_Att/PV-8-2019-03-28-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-03-28","reference/reds:iPlPv_Sit/PV-8-2019-03-28","reference/reds:iPlPv_Rcv/PV-8-2019-03-28-RCV","reference/reds:iPlPv_Vot/PV-8-2019-03-28-VOT","reference/reds:iCalPlMeeting/CMTG-PL-2019-001362-01",,"Thursday, 28 March 2019","Jeudi 28 mars 2019","Donnerstag, 28. März 2019","Giovedì 28 marzo 2019","Jueves 28 de marzo de 2019","Czwartek, 28 marca 2019","Четвъртък, 28 март 2019","Čtvrtek, 28. března 2019","Torsdag den 28. marts 2019","Neljapäev, 28. märts 2019","Πέμπτη 28 Μαρτίου 2019","četvrtak, 28. ožujka 2019.","Ceturtdiena, 2019. gada 28. marts","Ketvirtadienis, 2019 m. kovo 28 d.","2019. március 28., csütörtök","Il-Ħamis, 28 ta' Marzu 2019","Donderdag 28 maart 2019","Quinta-feira, 28 de Março de 2019","Joi, 28 martie 2019","Štvrtok, 28. marca 2019","Četrtek, 28. marec 2019","Torstai 28. maaliskuuta 2019","Torsdagen den 28 mars 2019"
"http://data.europarl.europa.eu/eli/dl/iPlMeeting/20190403","SESP 2019-04-03","2019-04-03","http://data.europarl.europa.eu/PlenarySession_20190403-20190404",,"reference/reds:iPlOj_Sit/OJQ-8-2019-04-03","reference/reds:iPlPv_Att/PV-8-2019-04-03-ATT","reference/reds:iPlCre_Sit/CRE-8-2019-04-03","reference/reds:iPlPv_Sit/PV-8-2019-04-03","reference/reds:iPlPv_Rcv/PV-8-2019-04-03-RCV",,"reference/reds:iCalPlMeeting/CMTG-PL-2019-001549-01",,"Wednesday, 3 April 2019","Mercredi 3 avril 2019","Mittwoch, 3. April 2019","Mercoledì 3 aprile 2019","Miércoles 3 de abril de 2019","Środa, 3 kwietnia 2019","Cряда, 3 април 2019","Středa, 3. dubna 2019","Onsdag den 3. april 2019","Kolmapäev, 3. aprill 2019","Τετάρτη 3 Απριλίου 2019","srijeda, 3. travnja 2019.","Trešdiena, 2019. gada 3. aprīlis","Trečiadienis, 2019 m. balandžio 3 d.","2019. április 3., szerda","L-Erbgħa, 3 ta' April 2019","Woensdag 3 april 2019","Quarta-feira, 3 de Abril de 2019","Miercuri, 3 aprilie 2019","Streda, 3. apríla 2019","Sreda, 3. april 2019","Keskiviikko 3. huhtikuuta 2019","Onsdagen den 3 april 2019"
